column_name,metric_type,value
login_id,count,100
login_id,sum,5050
login_id,avg,50.5000
login_id,min,1
login_id,max,100
customer_id,count,100
customer_id,sum,5050
customer_id,avg,50.5000
customer_id,min,1
customer_id,max,100
username,count,100
username,distinct_count,100
username,group_concat,"johnsmith,emilyj,michaelw,sarahb,davidj,jessicag,robertm,jenniferd,thomasr,lisam,christopherw,amandaa,danielt,michellet,jamesh,elizabethm,matthewm,ashleyj,andrewt,nicolew,joshl,stephaniel,keving,rebeccah,brianc,laural,timothyr,melissaw,jeffreyh,samanthay,ryana,rachelk,jasonw,megans,justing,kaylaa,brandonb,victorian,benjaminc,heatherm,samuelp,danieller,patrickt,christinap,nathanc,amberp,gregorye,brittanye,kytec,tiffanys,aarons,courtneym,joser,allisonr,scottc,ericam,travisb,vanessam,peterb,crystalr,jeremyc,mariar,shawnt,monicah,derekw,aprilt,carlp,jacquelineg,ethanr,brendaj,raymondw,veronicab,vincentk,cynthias,philipp,katherineb,bobbyw,christineb,keithr,deniseh,geraldc,dianaj,keithp,pamelap,ralphl,shirleyh,royf,judithw,gloriab,johnnys,evelynf,terryg,ireneb,harrya,marilynr,wayneg,florenced,louish,rosem,albertf"
password_hash,count,100
password_hash,distinct_count,1
password_hash,group_concat,"5f4dcc3b5aa765d61d8327deb882cf99,5f4dcc3b5aa765d61d8327deb882cf99,5f4dcc3b5aa765d61d8327deb882cf99,5f4dcc3b5aa765d61d8327deb882cf99,5f4dcc3b5aa765d61d8327deb882cf99,5f4dcc3b5aa765d61d8327deb882cf99,5f4dcc3b5aa765d61d8327deb882cf99,5f4dcc3b5aa765d61d8327deb882cf99,5f4dcc3b5aa765d61d8327deb882cf99,5f4dcc3b5aa765d61d8327deb882cf99,5f4dcc3b5aa765d61d8327deb882cf99,5f4dcc3b5aa765d61d8327deb882cf99,5f4dcc3b5aa765d61d8327deb882cf99,5f4dcc3b5aa765d61d8327deb882cf99,5f4dcc3b5aa765d61d8327deb882cf99,5f4dcc3b5aa765d61d8327deb882cf99,5f4dcc3b5aa765d61d8327deb882cf99,5f4dcc3b5aa765d61d8327deb882cf99,5f4dcc3b5aa765d61d8327deb882cf99,5f4dcc3b5aa765d61d8327deb882cf99,5f4dcc3b5aa765d61d8327deb882cf99,5f4dcc3b5aa765d61d8327deb882cf99,5f4dcc3b5aa765d61d8327deb882cf99,5f4dcc3b5aa765d61d8327deb882cf99,5f4dcc3b5aa765d61d8327deb882cf99,5f4dcc3b5aa765d61d8327deb882cf99,5f4dcc3b5aa765d61d8327deb882cf99,5f4dcc3b5aa765d61d8327deb882cf99,5f4dcc3b5aa765d61d8327deb882cf99,5f4dcc3b5aa765d61d8327deb882cf99,5f4dcc3b5aa765d61d8327deb882cf99,5"
last_login,count,100
last_login,min,2023-02-05 16:45:00
last_login,max,2023-05-15 09:30:00
